+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                               ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux_001|arb|adder                                                                                                                                ; 12    ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux_001|arb                                                                                                                                      ; 7     ; 0              ; 4            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux_001                                                                                                                                          ; 285   ; 0              ; 0            ; 0              ; 97     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux|arb|adder                                                                                                                                    ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux|arb                                                                                                                                          ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_mux                                                                                                                                              ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_demux_002                                                                                                                                        ; 97    ; 1              ; 2            ; 1              ; 95     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_demux_001                                                                                                                                        ; 98    ; 4              ; 2            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|rsp_xbar_demux                                                                                                                                            ; 98    ; 4              ; 2            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux_002                                                                                                                                          ; 97    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux_001|arb|adder                                                                                                                                ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux_001|arb                                                                                                                                      ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux_001                                                                                                                                          ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux|arb|adder                                                                                                                                    ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux|arb                                                                                                                                          ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_mux                                                                                                                                              ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_demux_001                                                                                                                                        ; 99    ; 9              ; 2            ; 9              ; 283    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|cmd_xbar_demux                                                                                                                                            ; 98    ; 4              ; 2            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router_002|the_default_decode                                                                                                                          ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router_002                                                                                                                                             ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router_001|the_default_decode                                                                                                                          ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router_001                                                                                                                                             ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router|the_default_decode                                                                                                                              ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|id_router                                                                                                                                                 ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|addr_router_001|the_default_decode                                                                                                                        ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|addr_router_001                                                                                                                                           ; 94    ; 0              ; 4            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|addr_router|the_default_decode                                                                                                                            ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|addr_router                                                                                                                                               ; 94    ; 0              ; 4            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                          ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                      ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                   ; 263   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                    ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent                                                                                             ; 263   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                         ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                     ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                  ; 263   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_data_master_translator_avalon_universal_master_0_agent                                                                                       ; 155   ; 36             ; 62           ; 36             ; 126    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_instruction_master_translator_avalon_universal_master_0_agent                                                                                ; 155   ; 36             ; 62           ; 36             ; 126    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                  ; 98    ; 6              ; 16           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                            ; 98    ; 8              ; 4            ; 8              ; 83     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator                                                                                                                 ; 98    ; 6              ; 5            ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_data_master_translator                                                                                                                       ; 99    ; 13             ; 0            ; 13             ; 90     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0|nios2_qsys_0_instruction_master_translator                                                                                                                ; 99    ; 52             ; 0            ; 52             ; 90     ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|mm_interconnect_0                                                                                                                                                           ; 169   ; 0              ; 0            ; 0              ; 199    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_r                                                                                                                         ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0|the_nios_handshake_jtag_uart_0_scfifo_w                                                                                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|jtag_uart_0                                                                                                                                                                 ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                              ; 49    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|onchip_memory2_0                                                                                                                                                            ; 52    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_jtag_debug_module_wrapper|the_nios_handshake_nios2_qsys_0_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_jtag_debug_module_wrapper|the_nios_handshake_nios2_qsys_0_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_jtag_debug_module_wrapper                                                            ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_im                                                                         ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_pib                                                                        ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo|the_nios_handshake_nios2_qsys_0_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo|the_nios_handshake_nios2_qsys_0_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_fifo                                                                       ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_dtrace|nios_handshake_nios2_qsys_0_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_dtrace                                                                     ; 99    ; 0              ; 88           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_itrace                                                                     ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_dbrk                                                                       ; 84    ; 0              ; 0            ; 0              ; 88     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_xbrk                                                                       ; 50    ; 5              ; 47           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_break                                                                      ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_avalon_reg                                                                     ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_ocimem|nios_handshake_nios2_qsys_0_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_ocimem|nios_handshake_nios2_qsys_0_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_ocimem                                                                         ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci|the_nios_handshake_nios2_qsys_0_nios2_oci_debug                                                                      ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_nios2_oci                                                                                                                      ; 150   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|nios_handshake_nios2_qsys_0_register_bank_b|the_altsyncram|auto_generated                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|nios_handshake_nios2_qsys_0_register_bank_b                                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|nios_handshake_nios2_qsys_0_register_bank_a|the_altsyncram|auto_generated                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|nios_handshake_nios2_qsys_0_register_bank_a                                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0|the_nios_handshake_nios2_qsys_0_test_bench                                                                                                                     ; 260   ; 3              ; 226          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; instance_nios_handshake|nios2_qsys_0                                                                                                                                                                ; 149   ; 1              ; 31           ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
